Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4189385,160.07407407407408,-128.2763,133.9641548792521,133.9641548792521,1.0
10000,1.4189384,358.5,-125.24373,448.7743453979492,448.7743453979492,1.0
15000,1.4189386,318.7368421052632,-126.392944,363.07100460264417,363.07100460264417,1.0
20000,1.4189386,333.29411764705884,-123.319565,403.16071421570246,403.16071421570246,1.0
25000,1.4211022,107.18,-88.24923,185.1414879195544,185.1414879195544,1.0
30000,1.4212623,71.02941176470588,-87.0271,148.52513784520767,148.52513784520767,1.0
35000,1.4212625,74.93939393939394,-87.37504,155.2168332121589,155.2168332121589,1.0
40000,1.4212623,70.94285714285714,-87.483406,184.57238781792776,184.57238781792776,1.0
45000,1.4242435,73.32835820895522,-67.45093,135.7780153075261,135.7780153075261,1.0
50000,1.4253855,75.66153846153846,-62.229782,156.38639725171603,156.38639725171603,1.0
55000,1.4253856,84.88135593220339,-60.36423,198.9220882674395,198.9220882674395,1.0
60000,1.4253855,68.73239436619718,-63.10058,128.51270557457292,128.51270557457292,1.0
65000,1.4270829,79.83870967741936,-44.069897,184.60057289369644,184.60057289369644,1.0
70000,1.4280183,75.72307692307692,-38.645317,161.72560228201058,161.72560228201058,1.0
75000,1.4280185,70.64285714285714,-40.9151,135.37869645868028,135.37869645868028,1.0
80000,1.4280186,79.75384615384615,-39.2367,159.81508186046895,159.81508186046895,1.0
85000,1.4280936,68.48529411764706,-30.351738,161.05096315636354,161.05096315636354,1.0
90000,1.4280546,73.66176470588235,-25.453459,161.92719664293176,161.92719664293176,1.0
95000,1.4280547,72.14925373134328,-25.439913,170.62550328382804,170.62550328382804,1.0
100000,1.4280547,86.37931034482759,-23.750744,219.63298688058197,219.63298688058197,1.0
105000,1.4283553,75.171875,-21.564762,137.51217884650598,137.51217884650598,1.0
110000,1.4286206,82.35,-17.187584,183.6905621210734,183.6905621210734,1.0
115000,1.4286206,79.46774193548387,-19.23669,155.85928553535092,155.85928553535092,1.0
120000,1.4286206,81.31147540983606,-17.41018,204.89500100495385,204.89500100495385,1.0
125000,1.4285424,75.43076923076923,-17.406948,177.03708835931926,177.03708835931926,1.0
130000,1.4284246,65.15789473684211,-19.044794,117.85436193566574,117.85436193566574,1.0
135000,1.4284246,75.47692307692307,-17.293425,171.15281788752628,171.15281788752628,1.0
140000,1.4284246,78.65625,-17.28673,167.2017323412001,167.2017323412001,1.0
145000,1.4287426,66.16216216216216,-15.723951,127.98723030090332,127.98723030090332,1.0
150000,1.4292287,76.859375,-11.209126,157.62986363098025,157.62986363098025,1.0
155000,1.4292287,70.61428571428571,-13.156845,139.20262144633702,139.20262144633702,1.0
160000,1.4292288,73.89393939393939,-12.729957,148.18597425836506,148.18597425836506,1.0
165000,1.4288374,68.33333333333333,-7.0056477,120.77735016081068,120.77735016081068,1.0
170000,1.4279236,73.0,3.4030342,159.42498245659996,159.42498245659996,1.0
175000,1.4279236,72.23880597014926,3.2443166,143.82456682710085,143.82456682710085,1.0
