Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4189385,82.21311475409836,-49.291878,45.03137948513031,45.03137948513031,1.0
10000,1.4189385,77.9047619047619,-49.43976,39.53202287734501,39.53202287734501,1.0
15000,1.4189385,78.58730158730158,-49.225613,41.84256552514576,41.84256552514576,1.0
20000,1.4189384,86.83928571428571,-49.40325,47.053239119680306,47.053239119680306,1.0
25000,1.4209633,83.27118644067797,-42.295307,50.07943567179017,50.07943567179017,1.0
30000,1.4212095,82.08333333333333,-42.014248,43.86164704163869,43.86164704163869,1.0
35000,1.4212095,77.15384615384616,-41.916718,43.81690190388606,43.81690190388606,1.0
40000,1.4212095,84.20689655172414,-41.85901,49.4744521009511,49.4744521009511,1.0
45000,1.4193076,83.35593220338983,-38.94823,49.50630558143228,49.50630558143228,1.0
50000,1.4189224,85.37931034482759,-38.592487,57.11918075331326,57.11918075331326,1.0
55000,1.4189223,78.21875,-38.654648,53.57409052923322,53.57409052923322,1.0
60000,1.4189223,83.01694915254237,-38.617325,51.934703164181464,51.934703164181464,1.0
65000,1.4172676,81.78688524590164,-34.879116,53.09445717295662,53.09445717295662,1.0
70000,1.4168319,79.59016393442623,-33.925686,46.15634608268738,46.15634608268738,1.0
75000,1.4168317,84.30508474576271,-34.11429,50.45712569204427,50.45712569204427,1.0
80000,1.4168317,84.13559322033899,-34.09566,53.962843361547435,53.962843361547435,1.0
85000,1.4159352,81.23333333333333,-25.2355,49.607579457759854,49.607579457759854,1.0
90000,1.4156582,80.33870967741936,-22.41462,53.04070203150472,53.04070203150472,1.0
95000,1.4156581,82.08333333333333,-22.427408,55.651295737425485,55.651295737425485,1.0
100000,1.4156582,86.01724137931035,-22.492195,59.75493304277288,59.75493304277288,1.0
105000,1.4134238,77.109375,-18.963078,52.263108840212226,52.263108840212226,1.0
110000,1.4123051,75.6,-17.542744,56.42722336512345,56.42722336512345,1.0
115000,1.4123051,86.50877192982456,-17.365871,57.33403801499752,57.33403801499752,1.0
120000,1.412305,86.19298245614036,-17.400387,62.27962008693762,62.27962008693762,1.0
125000,1.4108188,79.03174603174604,-14.069065,52.104637441181,52.104637441181,1.0
130000,1.4100103,80.54098360655738,-12.407926,55.97158532259894,55.97158532259894,1.0
135000,1.4100102,75.18181818181819,-12.434401,53.6164653192867,53.6164653192867,1.0
140000,1.4100103,77.6984126984127,-12.322206,57.126831762374394,57.126831762374394,1.0
145000,1.4083322,78.61904761904762,-10.221238,54.301793166569304,54.301793166569304,1.0
150000,1.4068692,77.265625,-8.664151,57.42641369253397,57.42641369253397,1.0
155000,1.4068692,77.578125,-8.592345,55.21980967000127,55.21980967000127,1.0
