Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
350000,1.4311678,78.64912280701755,19.537994,84.10399239403861,84.10399239403861,1.0
355000,1.4311678,67.06849315068493,19.120401,55.842865160066786,55.842865160066786,1.0
360000,1.4311676,75.39393939393939,19.543575,81.6899966606588,81.6899966606588,1.0
365000,1.4311677,70.92753623188406,19.606543,71.39896328552909,71.39896328552909,1.0
370000,1.431401,72.97058823529412,21.511763,77.69881942868233,77.69881942868233,1.0
375000,1.431423,70.44285714285714,21.646988,71.81348940134049,71.81348940134049,1.0
380000,1.431423,67.53424657534246,21.201017,58.84170126098476,58.84170126098476,1.0
385000,1.431423,70.48571428571428,21.369122,65.66663152320045,65.66663152320045,1.0
390000,1.4323995,67.04109589041096,23.108978,55.68635014311908,55.68635014311908,1.0
395000,1.4326305,70.42857142857143,23.594797,67.8119101864951,67.8119101864951,1.0
400000,1.4326305,62.64556962025316,23.403982,50.33295982698851,50.33295982698851,1.0
405000,1.4326304,67.23287671232876,23.657127,67.11288092234363,67.11288092234363,1.0
410000,1.4322534,66.72972972972973,23.505009,61.12832310070863,61.12832310070863,1.0
415000,1.4321415,64.19736842105263,23.085558,52.49618647600475,52.49618647600475,1.0
420000,1.4321414,67.97297297297297,23.026623,53.929086121352945,53.929086121352945,1.0
425000,1.4321417,66.26027397260275,23.289072,65.54755407816744,65.54755407816744,1.0
430000,1.4309882,62.525,22.648447,49.94817871451378,49.94817871451378,1.0
435000,1.4306097,66.38666666666667,22.386883,51.5773939371109,51.5773939371109,1.0
440000,1.4306097,62.142857142857146,22.60465,54.59318237180834,54.59318237180834,1.0
445000,1.4306096,68.32,22.52207,52.46328241109848,52.46328241109848,1.0
450000,1.4305618,69.15942028985508,23.913483,66.91941104764524,66.91941104764524,1.0
455000,1.4305862,66.62162162162163,24.116634,55.106356369482505,55.106356369482505,1.0
460000,1.4305862,67.17808219178082,24.089832,56.14210125028271,56.14210125028271,1.0
465000,1.4305862,61.962025316455694,24.271175,53.00649878344959,53.00649878344959,1.0
470000,1.4306077,68.68055555555556,26.095493,59.80832654900021,59.80832654900021,1.0
475000,1.4306135,63.97402597402598,26.73831,49.33069518556842,49.33069518556842,1.0
480000,1.4306135,67.82191780821918,27.263489,65.42321548396593,65.42321548396593,1.0
485000,1.4306135,66.66216216216216,26.617022,53.82264038356575,53.82264038356575,1.0
490000,1.430538,63.84415584415584,27.58923,49.76519101006644,49.76519101006644,1.0
495000,1.4304831,65.21333333333334,28.198284,55.337588562965394,55.337588562965394,1.0
500000,1.430483,75.33333333333333,28.486403,86.3218980901169,86.3218980901169,1.0
505000,1.4304831,66.14864864864865,28.210773,58.66451128592362,58.66451128592362,1.0
510000,1.4299214,68.09722222222223,29.131863,59.6438310874833,59.6438310874833,1.0
515000,1.4294299,66.89189189189189,29.718536,59.864648902738416,59.864648902738416,1.0
520000,1.4294299,70.61428571428571,29.98703,64.39631173610687,64.39631173610687,1.0
525000,1.4294298,73.38805970149254,29.710608,69.64681427336451,69.64681427336451,1.0
530000,1.4296371,70.21428571428571,29.79188,70.00040424380984,70.00040424380984,1.0
535000,1.4298658,64.96052631578948,29.979752,56.30298059237631,56.30298059237631,1.0
540000,1.4298656,69.36619718309859,29.848402,58.97027420326018,58.97027420326018,1.0
545000,1.4298658,68.29166666666667,29.83292,62.449057180020546,62.449057180020546,1.0
550000,1.4307612,71.02816901408451,29.526312,63.13243236508168,63.13243236508168,1.0
555000,1.4319943,69.15492957746478,29.215765,61.4850206324752,61.4850206324752,1.0
560000,1.4319943,66.13513513513513,29.770458,63.48923363556733,63.48923363556733,1.0
565000,1.4319944,70.01428571428572,29.171234,69.24013556412288,69.24013556412288,1.0
570000,1.4325987,63.883116883116884,29.42189,50.88438592328654,50.88438592328654,1.0
575000,1.4335357,66.9054054054054,29.933151,59.7071618389439,59.7071618389439,1.0
580000,1.4335357,63.54545454545455,29.55104,52.071277968295206,52.071277968295206,1.0
585000,1.4335357,68.11111111111111,29.78955,62.846500891778206,62.846500891778206,1.0
590000,1.433294,61.44444444444444,29.312012,46.27720091813876,46.27720091813876,1.0
595000,1.4327316,63.753246753246756,29.707418,49.4465762562566,49.4465762562566,1.0
600000,1.4327317,66.0945945945946,29.667986,52.47651800754908,52.47651800754908,1.0
605000,1.4327317,68.32876712328768,30.13118,61.03220499949912,61.03220499949912,1.0
