Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4189383,116.26923076923077,-55.674313,0.3112843370437622,0.3112843370437622,1.0
10000,1.4189385,409.0,-55.118103,11.900434851646423,11.900434851646423,1.0
15000,1.4189385,782.75,-55.557922,151.88722848892212,151.88722848892212,1.0
20000,1.4189384,1122.6666666666667,-55.660652,119.40338850021362,119.40338850021362,1.0
25000,1.4189718,375.61538461538464,-53.338467,110.81850591989664,110.81850591989664,1.0
30000,1.4190952,93.54054054054055,-53.133827,67.55979352867281,67.55979352867281,1.0
35000,1.4190952,65.36842105263158,-53.048588,57.265555362952384,57.265555362952384,1.0
40000,1.4190952,64.89473684210526,-53.146812,47.817195222566,47.817195222566,1.0
45000,1.4194552,61.32911392405063,-39.478855,43.945279413461684,43.945279413461684,1.0
50000,1.4195795,66.45945945945945,-34.09771,48.91768574070286,48.91768574070286,1.0
55000,1.4195795,60.839506172839506,-34.581017,44.33495492637157,44.33495492637157,1.0
60000,1.4195796,63.55844155844156,-34.420574,45.992564650682304,45.992564650682304,1.0
65000,1.4198707,63.55128205128205,-31.259054,46.099323145854164,46.099323145854164,1.0
70000,1.4200659,61.75949367088607,-29.979546,43.18865739544736,43.18865739544736,1.0
75000,1.4200659,64.36363636363636,-29.557678,45.43933582305908,45.43933582305908,1.0
80000,1.4200659,61.1,-30.103857,44.14189310371876,44.14189310371876,1.0
85000,1.4197488,61.4375,-10.584597,43.61177013963461,43.61177013963461,1.0
90000,1.4194567,63.05128205128205,3.4256005,44.8374749146975,44.8374749146975,1.0
95000,1.4194566,63.53846153846154,3.5602794,44.44402172168096,44.44402172168096,1.0
100000,1.4194567,63.81818181818182,3.5840602,45.084309638320626,45.084309638320626,1.0
105000,1.4200462,63.57692307692308,5.9250083,46.01921357252659,46.01921357252659,1.0
110000,1.4206934,62.08860759493671,7.1939025,44.39939150780062,44.39939150780062,1.0
115000,1.4206934,67.95833333333333,8.12413,50.98547416263156,50.98547416263156,1.0
120000,1.4206935,64.90789473684211,7.5949006,45.67250322197613,45.67250322197613,1.0
125000,1.4209144,66.21333333333334,10.054067,48.130774863560994,48.130774863560994,1.0
130000,1.4211434,65.78378378378379,12.083745,47.28025137894863,47.28025137894863,1.0
135000,1.4211433,64.72727272727273,11.958733,46.02071741029814,46.02071741029814,1.0
140000,1.4211434,67.26027397260275,12.206986,50.03608182848316,50.03608182848316,1.0
145000,1.4206591,66.97260273972603,14.149571,47.90351989171276,47.90351989171276,1.0
150000,1.4199321,64.8157894736842,16.607176,45.37425432079717,45.37425432079717,1.0
155000,1.4199321,67.32203389830508,16.812849,49.42586123741279,49.42586123741279,1.0
160000,1.4199321,98.78333333333333,16.885239,137.3292417625586,137.3292417625586,1.0
165000,1.4203084,70.37142857142857,17.287123,51.7019864320755,51.7019864320755,1.0
170000,1.4209387,69.52112676056338,17.89949,51.08440796086486,51.08440796086486,1.0
175000,1.4209386,68.90277777777777,17.794899,50.93899382981989,50.93899382981989,1.0
180000,1.4209387,66.44594594594595,17.67698,48.182739272310926,48.182739272310926,1.0
185000,1.4212673,68.02777777777777,17.98229,49.52007913092772,49.52007913092772,1.0
