Steps,Policy/Entropy,Environment/Episode Length,Policy/Extrinsic Value Estimate,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.4189386,67.95890410958904,-18.099257,82.17364397976134,82.17364397976134,1.0
10000,1.4189385,71.11428571428571,-17.77912,81.55721589156559,81.55721589156559,1.0
15000,1.4189385,72.68656716417911,-18.120459,102.13026289441693,102.13026289441693,1.0
20000,1.4189385,76.75384615384615,-17.65342,115.56449284920326,115.56449284920326,1.0
25000,1.4217879,78.73015873015873,-8.848886,113.94710260724264,113.94710260724264,1.0
30000,1.4220324,73.75757575757575,-8.369342,100.1582052527052,100.1582052527052,1.0
35000,1.4220324,70.27142857142857,-8.496008,92.38933485235486,92.38933485235486,1.0
40000,1.4220322,69.19718309859155,-8.386958,91.4298641648091,91.4298641648091,1.0
45000,1.421351,74.02985074626865,-3.664874,104.56561502769812,104.56561502769812,1.0
50000,1.4211816,72.30882352941177,-2.5942428,98.95054977781632,98.95054977781632,1.0
55000,1.4211816,75.66666666666667,-3.0788155,98.49235214609088,98.49235214609088,1.0
60000,1.4211816,70.18571428571428,-2.9468691,101.52863048825945,101.52863048825945,1.0
65000,1.4195253,74.43939393939394,1.2771825,110.66717956282876,110.66717956282876,1.0
70000,1.4190639,70.38571428571429,1.7963579,98.76822550467082,98.76822550467082,1.0
75000,1.419064,73.16417910447761,2.4970534,109.63299193666943,109.63299193666943,1.0
80000,1.4190639,71.69565217391305,2.002961,105.72317790639573,105.72317790639573,1.0
85000,1.4169112,72.83823529411765,4.2572355,111.59845553426182,111.59845553426182,1.0
90000,1.4161912,80.3225806451613,4.810344,122.28338206198907,122.28338206198907,1.0
95000,1.4161912,77.58730158730158,4.8399863,110.38536799900116,110.38536799900116,1.0
100000,1.4161912,73.44776119402985,4.8958945,113.00378837870129,113.00378837870129,1.0
105000,1.414673,73.58823529411765,5.4048066,105.83633336424828,105.83633336424828,1.0
110000,1.4139376,77.93650793650794,6.534896,125.53145342024546,125.53145342024546,1.0
115000,1.4139376,77.609375,5.739941,111.90701392665505,111.90701392665505,1.0
120000,1.4139376,73.33333333333333,5.917312,111.99775112758984,111.99775112758984,1.0
125000,1.413073,73.8970588235294,6.2191944,104.69349343987072,104.69349343987072,1.0
130000,1.4124868,75.1076923076923,6.219951,108.63743195166954,108.63743195166954,1.0
135000,1.4124869,76.890625,6.4914966,116.63715406879783,116.63715406879783,1.0
140000,1.4124869,80.77049180327869,5.8846207,111.78422049225354,111.78422049225354,1.0
145000,1.4106171,75.36363636363636,7.1783504,108.2047442667412,108.2047442667412,1.0
150000,1.4091702,88.41071428571429,8.543043,143.29133731126785,143.29133731126785,1.0
155000,1.4091702,72.16176470588235,8.038429,102.34774089210174,102.34774089210174,1.0
160000,1.40917,80.12903225806451,6.5351667,105.8293936444867,105.8293936444867,1.0
165000,1.4079232,79.98360655737704,8.01335,107.1240539003591,107.1240539003591,1.0
170000,1.4067146,81.32786885245902,9.255368,120.59046930563254,120.59046930563254,1.0
175000,1.4067146,82.03333333333333,8.82644,120.97022689183554,120.97022689183554,1.0
180000,1.4067147,77.234375,8.988406,102.99701017513871,102.99701017513871,1.0
185000,1.4066453,80.24193548387096,9.481957,114.1269696989367,114.1269696989367,1.0
